                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.62755,                0.55748,                   1.07,                0.58945,                0.68668,                0.64441,                 0.4754,                 0.8916,                0.96059,                 1.4305,             0.00028806,             0.00028806,             0.00028806
                     71,                0.61444,                0.53806,                 1.0553,                0.82836,                0.67045,                0.72083,                0.52181,                0.87601,                0.94633,                  1.445,             0.00027906,             0.00027906,             0.00027906
                     72,                0.62231,                0.53952,                 1.0643,                0.66468,                0.71729,                0.64027,                0.46653,                0.93024,                0.94489,                 1.5098,             0.00027006,             0.00027006,             0.00027006
                     73,                0.60553,                0.51815,                 1.0572,                0.80468,                0.65506,                0.69028,                0.50054,                0.89214,                0.91376,                  1.428,             0.00026106,             0.00026106,             0.00026106
                     74,                0.60591,                0.52737,                 1.0598,                0.76857,                0.63469,                0.69455,                0.49857,                0.87749,                 0.9483,                 1.4141,             0.00025207,             0.00025207,             0.00025207
                     75,                0.60363,                 0.5258,                 1.0578,                0.50151,                0.70875,                0.63161,                0.45482,                0.95892,                0.99158,                 1.5394,             0.00024307,             0.00024307,             0.00024307
                     76,                0.59199,                0.50634,                 1.0465,                0.79331,                0.62649,                 0.7252,                0.52655,                0.87897,                0.91444,                 1.4465,             0.00023407,             0.00023407,             0.00023407
                     77,                0.59034,                0.50462,                 1.0489,                0.71104,                0.73157,                0.68794,                0.50277,                0.86911,                0.92502,                 1.4057,             0.00022507,             0.00022507,             0.00022507
                     78,                 0.5811,                0.49765,                 1.0385,                0.80686,                 0.6905,                0.73678,                0.54025,                0.86182,                0.84988,                 1.4106,             0.00021607,             0.00021607,             0.00021607
                     79,                0.59725,                0.50919,                 1.0428,                0.82665,                0.63303,                 0.7114,                0.53001,                0.86241,                0.86988,                  1.417,             0.00020707,             0.00020707,             0.00020707
